movie_ID	genres
333	{'id': 35_'name': 'Comedy'|'id': 18_'name': 'Drama'|'id': 10402_'name': 'Music'|'id': 10749_'name': 'Romance'}
334	{'id': 18_'name': 'Drama'}
335	{'id': 37_'name': 'Western'}
336	{'id': 37_'name': 'Western'}
337	{'id': 18_'name': 'Drama'}
338	{'id': 35_'name': 'Comedy'|'id': 18_'name': 'Drama'|'id': 10749_'name': 'Romance'}
339	{'id': 35_'name': 'Comedy'|'id': 18_'name': 'Drama'}
340	{'id': 35_'name': 'Comedy'|'id': 18_'name': 'Drama'}
342	{'id': 35_'name': 'Comedy'|'id': 18_'name': 'Drama'}
343	{'id': 35_'name': 'Comedy'|'id': 18_'name': 'Drama'|'id': 10749_'name': 'Romance'}
344	{'id': 80_'name': 'Crime'|'id': 28_'name': 'Action'|'id': 35_'name': 'Comedy'}
345	{'id': 9648_'name': 'Mystery'|'id': 18_'name': 'Drama'}
346	{'id': 28_'name': 'Action'|'id': 18_'name': 'Drama'}
347	{'id': 18_'name': 'Drama'}
348	{'id': 27_'name': 'Horror'|'id': 28_'name': 'Action'|'id': 53_'name': 'Thriller'|'id': 878_'name': 'Science Fiction'}
349	{'id': 35_'name': 'Comedy'}
350	{'id': 35_'name': 'Comedy'|'id': 18_'name': 'Drama'|'id': 10749_'name': 'Romance'}
363	{'id': 18_'name': 'Drama'|'id': 10749_'name': 'Romance'}
364	{'id': 28_'name': 'Action'|'id': 14_'name': 'Fantasy'}
377	{'id': 27_'name': 'Horror'}
378	{'id': 35_'name': 'Comedy'|'id': 80_'name': 'Crime'}
379	{'id': 18_'name': 'Drama'|'id': 53_'name': 'Thriller'|'id': 80_'name': 'Crime'}
380	{'id': 18_'name': 'Drama'}
381	{'id': 80_'name': 'Crime'|'id': 18_'name': 'Drama'|'id': 9648_'name': 'Mystery'|'id': 10749_'name': 'Romance'|'id': 53_'name': 'Thriller'}
383	{'id': 18_'name': 'Drama'}
387	{'id': 28_'name': 'Action'|'id': 18_'name': 'Drama'|'id': 36_'name': 'History'|'id': 10752_'name': 'War'|'id': 12_'name': 'Adventure'}
388	{'id': 80_'name': 'Crime'|'id': 18_'name': 'Drama'|'id': 53_'name': 'Thriller'}
389	{'id': 18_'name': 'Drama'}
390	{'id': 18_'name': 'Drama'|'id': 10769_'name': 'Foreign'|'id': 53_'name': 'Thriller'}
391	{'id': 37_'name': 'Western'}
392	{'id': 35_'name': 'Comedy'|'id': 18_'name': 'Drama'|'id': 10749_'name': 'Romance'}
